swipesPerHour,spamLinkCount,reportCount,profileCompleteness,hasProfilePhoto,isFaceVerified,bioHasContact,label
5.413650117,0,0,0.581815531,1,0,0,1
55.68371861,0,1,0.60870904,1,0,0,0
12.99924919,1,0,0.632907101,1,1,0,0
119.7086717,0,4,0.434394568,1,0,0,0
0,1,0,0.531666607,1,0,1,0
34.17826009,1,1,0.352034698,1,0,1,1
0,1,1,0.44153197,1,1,1,0
77.6537231,1,0,0.238999899,1,0,1,1
19.29428411,1,0,0.676558264,1,1,1,0
45.35449577,0,1,0.670098812,1,0,0,0
0,1,2,0.487207145,1,1,1,0
46.4033638,0,1,0.688630238,1,0,0,0
4.641781529,0,0,0.709671836,1,1,0,0
92.39760757,0,2,0.707818899,1,0,0,0
8.903521192,0,2,0.521481924,1,1,0,0
0,0,0,0.421959327,1,0,1,0
59.03719903,0,2,0.251254941,1,0,0,0
28.72696579,1,1,0.329609879,1,1,0,0
67.78311349,1,2,0.954981154,0,1,0,1
13.88432139,0,2,0.792458884,1,0,1,0
42.10897433,2,0,0.991161281,1,0,0,1
4.54175165,0,0,0.633192748,1,0,0,0
143.4691906,2,1,0.357302053,0,0,1,1
27.02179995,1,2,0.678526885,1,1,0,1
26.77274243,0,1,0.314595106,1,0,0,0
0,1,1,0.485181665,1,0,1,1
43.8081605,0,1,0.856017746,1,0,0,0
43.76258215,1,0,0.92012953,1,0,0,0
6.191449465,0,0,0.269316292,1,1,0,0
0.69991502,1,1,0.704243719,1,1,0,0
91.78836428,3,1,0.285317441,0,0,1,1
52.82961772,1,0,0.859715349,1,1,1,0
35.69927889,6,3,0.182424601,0,0,1,0
93.73439374,0,1,0.171504228,1,0,0,1
35.81473255,1,0,0.322208442,0,1,1,0
41.89405555,2,0,0.553272273,1,1,0,0
106.6666035,2,1,0.717414227,0,0,1,1
88.74280107,0,3,0.501947834,0,1,1,0
20.5648233,0,3,0.665771894,1,1,0,0
11.05486387,1,0,0.274213163,1,1,0,0
43.66405165,2,0,0.229226313,1,1,1,0
139.8551421,2,3,0.249252385,0,0,0,1
50.11186351,0,0,0.824577773,1,0,0,0
64.29444347,1,0,0.553528001,1,0,1,1
91.69610561,0,0,0.530749336,1,0,1,0
60.51424909,0,1,0.465791615,1,1,0,0
6.3077559,0,1,0.808336751,1,0,0,1
33.68263909,5,1,0.131974898,1,0,1,1
119.6964756,0,1,0.486680926,1,0,0,0
14.78216209,2,0,0.792013569,1,0,0,1
7.347188353,0,0,0.533315905,1,1,1,0
70.57874975,2,3,0.764190808,1,0,1,0
31.43748731,0,1,0.785045196,1,0,1,0
31.36195992,0,3,0.25881994,1,1,1,1
79.28048637,1,2,0.840520767,1,0,1,0
4.76022877,1,1,0.629696163,1,0,0,0
35.38642191,1,1,0.474909743,1,0,0,1
66.93460583,1,2,0.446137869,1,0,1,1
25.97772969,1,2,0.395698148,1,0,1,1
84.09391413,4,2,0.331097417,1,0,0,1
4.522173131,0,1,0.460231401,0,0,1,0
40.8816582,2,0,0.518289707,1,1,0,0
29.66060491,0,0,0.857500329,0,1,1,1
36.66340084,2,0,0.507410897,1,0,0,0
54.66987991,1,3,0.47656186,1,0,1,1
63.82512234,0,0,0.576954725,1,0,0,0
3.037153097,0,2,0.429966126,0,0,0,1
16.59930271,0,0,0.892725189,1,1,0,0
0,0,3,0.714083153,1,0,0,0
64.60895684,2,1,0.558522496,1,0,0,1
0,0,2,0.793988371,1,0,0,0
14.00217237,1,0,0.41992314,1,0,1,0
76.10866323,4,1,0.529633323,1,0,1,0
49.00849348,0,0,0.640066072,1,0,1,0
41.8644662,0,1,0.258307114,1,0,0,0
11.34050831,0,1,0.550577161,1,0,0,0
101.8567071,0,1,0.061312196,0,1,0,1
87.96636216,6,0,0.137719278,1,0,1,0
30.43659292,1,2,0.377511566,1,0,0,0
21.44024706,2,0,0.620542787,1,1,0,0
20.63516132,2,0,0.36519315,1,1,0,0
57.68213007,0,3,0.526682196,1,1,1,0
36.10699995,0,1,0.563193229,1,1,0,0
73.15816196,0,0,0.585712889,1,1,0,0
95.98533839,0,2,0.198833047,1,0,0,0
68.9750005,0,0,0.033588475,1,0,1,1
15.28744449,0,2,0.830597647,1,0,1,1
33.50983184,0,0,0.651966554,1,1,0,0
18.81639951,1,0,0.463182402,1,0,0,0
5.576870293,0,0,0.244184155,1,1,1,0
14.61802577,0,1,0.555507823,1,0,0,0
26.55013312,0,3,0.875853928,1,0,1,1
14.1534269,2,1,0.73880182,0,0,1,1
67.91239163,1,2,0.066475249,1,0,1,1
134.0899814,2,1,0.333721017,1,0,0,0
31.71343349,2,0,0.779055146,1,1,0,1
29.54240602,0,2,0.58378592,1,1,0,1
21.44350097,5,1,0.814730306,1,0,0,1
28.65917146,0,1,0.671704963,1,1,1,0
45.80630496,0,1,0.640451415,1,0,0,0
4.625755898,0,0,0.244910024,1,0,0,0
74.63179759,2,4,0.67404076,1,0,1,1
69.39456821,0,2,0.469771282,1,0,0,1
0,0,2,0.357720452,1,1,0,0
16.28385671,1,0,0.832922244,1,0,0,0
41.16063993,0,1,0.589067223,0,0,1,0
12.19508651,0,3,0.512951548,1,1,0,0
119.4433249,1,1,0.217008098,0,0,0,1
3.47228981,0,3,0.632177199,1,0,1,1
31.80169195,0,1,0.708852322,1,1,0,0
0,1,2,0.589548101,0,0,0,1
23.66231964,1,1,0.3444729,1,0,0,0
0,0,2,0.334443732,1,1,0,0
0,0,1,0.77007736,1,1,0,0
20.29640402,1,0,0.758302149,1,1,1,0
0,1,0,0.705650544,1,0,0,0
6.056655004,2,1,0.388901671,1,0,1,0
49.79775165,1,1,0.545296844,1,0,0,0
48.36004527,0,1,0.640365815,1,0,0,0
85.11942092,1,1,0.451012823,1,0,0,0
32.20611801,1,0,0.44501086,1,0,1,0
29.41223166,1,1,0.458109873,1,0,1,1
0,0,1,0.598774713,1,1,1,0
0,0,0,0.115087648,1,1,0,1
42.25264561,3,1,0.488784585,1,0,1,1
33.04832043,0,0,0.306541626,1,1,1,0
2.538143537,0,1,0.638930868,1,0,0,0
7.914048758,1,1,0.315779043,1,1,0,0
41.13077668,0,2,0.208236237,1,0,1,1
27.44918553,0,0,0.681910716,1,0,0,1
22.34148812,2,0,0.661452245,1,0,1,0
7.136883781,5,2,0.383383815,0,0,0,1
36.45842121,1,5,0.333616141,1,0,0,1
116.8551404,0,0,0.538819447,1,1,0,0
4.340243978,1,1,0.889556631,1,1,0,0
44.89423569,0,1,0.768993608,1,1,0,0
20.109066,1,2,0.357785056,1,1,0,0
30.50502129,1,2,0.516773254,1,0,0,1
0,1,0,0.511992468,1,1,0,0
0,2,0,0.738576725,1,1,0,0
4.664842416,1,0,0.517059167,1,1,1,0
67.91500004,0,0,0.211363791,1,1,0,0
10.89285569,0,2,0.569550374,1,0,0,0
77.31716934,4,1,0.219507894,0,0,1,1
4.020149084,1,0,0.926472418,1,0,0,0
0,1,0,0.213913264,1,1,0,0
34.17247144,0,2,0.093358986,1,1,0,0
73.58937348,4,1,0.273459026,1,0,1,0
5.400088133,0,0,0.106103001,1,0,0,1
19.38347427,0,0,0.529303974,1,0,0,0
25.05319781,1,2,0.60239376,1,1,0,0
2.322971466,5,3,0.570206306,1,0,0,1
39.56771259,2,2,0.270462357,0,0,0,1
0,1,0,0.75601831,1,1,1,0
13.95647879,2,1,0.310998361,1,1,1,1
